ID,Name,Industry,Inception,Employees,State,City,Revenue,Expenses,Profit,Growth
1,Over-Hex,Software,2006,25,TN,Franklin,"$9,684,527","1,130,700 Dollars",8553827,19%
2,Unimattax,IT Services,2009,36,PA,Newtown Square,"$14,016,543","804,035 Dollars",13212508,20%
3,Greenfax,Retail,2012,,SC,Greenville,"$9,746,272","1,044,375 Dollars",8701897,16%
4,Blacklane,IT Services,2011,66,CA,Orange,"$15,359,369","4,631,808 Dollars",10727561,19%
5,Yearflex,Software,2013,45,WI,Madison,"$8,567,910","4,374,841 Dollars",4193069,19%
6,Indigoplanet,IT Services,2013,60,NJ,Manalapan,"$12,805,452","4,626,275 Dollars",8179177,22%
7,Treslam,Financial Services,2009,116,MO,Clayton,"$5,387,469","2,127,984 Dollars",3259485,17%
8,Rednimdox,Construction,2013,73,NY,Woodside,,,,
9,Lamtone,IT Services,2009,55,CA,San Ramon,"$11,757,018","6,482,465 Dollars",5274553,30%
10,Stripfind,Financial Services,2010,25,FL,Boca Raton,"$12,329,371","916,455 Dollars",11412916,20%
11,Canecorporation,Health,2012,6,,New York,"$10,597,009","7,591,189 Dollars",3005820,7%
12,Mattouch,IT Services,2013,6,WA,Bellevue,"$14,026,934","7,429,377 Dollars",6597557,26%
13,Techdrill,Health,2009,9,MS,Flowood,"$10,573,990","7,435,363 Dollars",3138627,8%
14,Techline,,2006,65,CA,San Ramon,"$13,898,119","5,470,303 Dollars",8427816,23%
15,Cityace,,2010,25,CO,Louisville,"$9,254,614","6,249,498 Dollars",3005116,6%
16,Kayelectronics,Health,2009,687,NC,Clayton,"$9,451,943","3,878,113 Dollars",5573830,4%
17,Ganzlax,IT Services,2011,75,NJ,Iselin,"$14,001,180",,11901180,18%
18,Trantraxlax,Government Services,2011,35,VA,Suffolk,"$11,088,336","5,635,276 Dollars",5453060,7%
19,E-Zim,Retail,2008,320,OH,Monroe,"$10,746,451","4,762,319 Dollars",5984132,13%
20,Daltfase,Software,2011,78,NC,Durham,"$10,410,628","6,196,409 Dollars",4214219,17%
21,Hotlane,Government Services,2012,87,AL,Huntsville,"$7,978,332","5,686,574 Dollars",2291758,2%
22,Lathotline,Health,,103,VA,McLean,"$9,418,303","7,567,233 Dollars",1851070,2%
23,Lambam,IT Services,2012,210,SC,Columbia,"$11,950,148","4,365,512 Dollars",7584636,20%
24,Quozap,Software,2004,21,NJ,Collingswood,"$8,304,480","7,019,973 Dollars",1284507,20%
25,Tampware,Construction,2011,13,TX,Houston,"$9,785,982","2,910,756 Dollars",6875226,11%
26,Dalthow,Health,2000,20,GA,Dacula,"$10,800,718","7,731,820 Dollars",3068898,7%
27,Ranktech,Government Services,2010,607,FL,Tampa,"$10,515,557","7,439,384 Dollars",3076173,8%
